"y","R","G","B","L","cR","cG","cB","normR","normG","normB","cL"
0,88,153,88,126,88.0,153.0,88.0,0.3450980484485626,0.6000000238418579,0.3450980484485626
1,89,158,89,130,89.0,158.0,89.0,0.3490196168422699,0.6196078658103943,0.3490196168422699
2,89,144,89,121,89.0,144.0,89.0,0.3490196168422699,0.5647059082984924,0.3490196168422699
3,89,122,89,108,89.0,122.0,89.0,0.3490196168422699,0.47843137383461,0.3490196168422699
4,89,103,89,97,89.0,103.0,89.0,0.3490196168422699,0.40392157435417175,0.3490196168422699
5,89,92,89,91,89.0,92.0,89.0,0.3490196168422699,0.3607843220233917,0.3490196168422699
6,89,91,89,90,89.0,91.0,89.0,0.3490196168422699,0.35686275362968445,0.3490196168422699
7,89,90,89,90,89.0,90.0,89.0,0.3490196168422699,0.3529411852359772,0.3490196168422699
8,89,93,89,91,89.0,93.0,89.0,0.3490196168422699,0.364705890417099,0.3490196168422699
9,88,104,88,97,88.0,104.0,88.0,0.3450980484485626,0.40784314274787903,0.3450980484485626
10,88,124,88,109,88.0,124.0,88.0,0.3450980484485626,0.48627451062202454,0.3450980484485626
11,90,143,90,121,90.0,143.0,90.0,0.3529411852359772,0.5607843399047852,0.3529411852359772
12,90,158,90,130,90.0,158.0,90.0,0.3529411852359772,0.6196078658103943,0.3529411852359772
13,90,155,90,128,90.0,155.0,90.0,0.3529411852359772,0.6078431606292725,0.3529411852359772
14,90,140,90,119,90.0,140.0,90.0,0.3529411852359772,0.5490196347236633,0.3529411852359772
15,90,117,90,106,90.0,117.0,90.0,0.3529411852359772,0.4588235318660736,0.3529411852359772
16,89,99,89,95,89.0,99.0,89.0,0.3490196168422699,0.38823530077934265,0.3490196168422699
17,89,92,89,91,89.0,92.0,89.0,0.3490196168422699,0.3607843220233917,0.3490196168422699
18,90,92,90,91,90.0,92.0,90.0,0.3529411852359772,0.3607843220233917,0.3529411852359772
19,91,92,91,92,91.0,92.0,91.0,0.35686275362968445,0.3607843220233917,0.35686275362968445
20,89,95,89,93,89.0,95.0,89.0,0.3490196168422699,0.37254902720451355,0.3490196168422699
21,89,108,89,100,89.0,108.0,89.0,0.3490196168422699,0.42352941632270813,0.3490196168422699
22,90,131,90,114,90.0,131.0,90.0,0.3529411852359772,0.5137255191802979,0.3529411852359772
23,89,150,89,125,89.0,150.0,89.0,0.3490196168422699,0.5882353186607361,0.3490196168422699
24,90,158,90,130,90.0,158.0,90.0,0.3529411852359772,0.6196078658103943,0.3529411852359772
25,89,151,89,125,89.0,151.0,89.0,0.3490196168422699,0.5921568870544434,0.3490196168422699
26,90,133,90,115,90.0,133.0,90.0,0.3529411852359772,0.5215686559677124,0.3529411852359772
27,91,114,91,105,91.0,114.0,91.0,0.35686275362968445,0.4470588266849518,0.35686275362968445
28,90,97,90,94,90.0,97.0,90.0,0.3529411852359772,0.3803921639919281,0.3529411852359772
29,91,93,91,92,91.0,93.0,91.0,0.35686275362968445,0.364705890417099,0.35686275362968445
30,91,93,91,92,91.0,93.0,91.0,0.35686275362968445,0.364705890417099,0.35686275362968445
31,89,91,89,90,89.0,91.0,89.0,0.3490196168422699,0.35686275362968445,0.3490196168422699
32,91,97,91,95,91.0,97.0,91.0,0.35686275362968445,0.3803921639919281,0.35686275362968445
33,91,112,91,103,91.0,112.0,91.0,0.35686275362968445,0.43921568989753723,0.35686275362968445
34,91,134,91,116,91.0,134.0,91.0,0.35686275362968445,0.5254902243614197,0.35686275362968445
35,91,152,91,127,91.0,152.0,91.0,0.35686275362968445,0.5960784554481506,0.35686275362968445
36,91,159,91,131,91.0,159.0,91.0,0.35686275362968445,0.6235294342041016,0.35686275362968445
37,93,152,93,128,93.0,152.0,93.0,0.364705890417099,0.5960784554481506,0.364705890417099
38,89,132,89,114,89.0,132.0,89.0,0.3490196168422699,0.5176470875740051,0.3490196168422699
39,90,110,90,102,90.0,110.0,90.0,0.3529411852359772,0.4313725531101227,0.3529411852359772
40,91,98,91,95,91.0,98.0,91.0,0.35686275362968445,0.3843137323856354,0.35686275362968445
41,91,93,91,92,91.0,93.0,91.0,0.35686275362968445,0.364705890417099,0.35686275362968445
42,92,94,92,93,92.0,94.0,92.0,0.3607843220233917,0.3686274588108063,0.3607843220233917
43,90,93,90,92,90.0,93.0,90.0,0.3529411852359772,0.364705890417099,0.3529411852359772
44,91,100,91,96,91.0,100.0,91.0,0.35686275362968445,0.3921568691730499,0.35686275362968445
45,92,114,92,105,92.0,114.0,92.0,0.3607843220233917,0.4470588266849518,0.3607843220233917
46,90,134,90,116,90.0,134.0,90.0,0.3529411852359772,0.5254902243614197,0.3529411852359772
47,92,154,92,128,92.0,154.0,92.0,0.3607843220233917,0.6039215922355652,0.3607843220233917
48,90,157,90,129,90.0,157.0,90.0,0.3529411852359772,0.615686297416687,0.3529411852359772
49,91,149,91,125,91.0,149.0,91.0,0.35686275362968445,0.5843137502670288,0.35686275362968445
50,91,130,91,114,91.0,130.0,91.0,0.35686275362968445,0.5098039507865906,0.35686275362968445
51,91,107,91,100,91.0,107.0,91.0,0.35686275362968445,0.41960784792900085,0.35686275362968445
52,92,98,92,96,92.0,98.0,92.0,0.3607843220233917,0.3843137323856354,0.3607843220233917
53,91,93,91,92,91.0,93.0,91.0,0.35686275362968445,0.364705890417099,0.35686275362968445
54,91,92,91,92,91.0,92.0,91.0,0.35686275362968445,0.3607843220233917,0.35686275362968445
55,92,94,92,93,92.0,94.0,92.0,0.3607843220233917,0.3686274588108063,0.3607843220233917
